commune_id,commune_name,poblacion,superficie_km2,ingreso_promedio,nse
13110,La Florida,397497,70.2,720000,D
13111,La Granja,121214,10,920000,C3
13112,La Pintana,202146,30.6,580000,D
13113,La Reina,91927,23,1350000,C2
13114,Las Condes,289949,99,2900000,ABC1
13115,Lo Barnechea,97230,1024,3200000,ABC1
13116,Lo Espejo,99527,7,650000,D
13117,Lo Prado,94766,7,700000,D
13118,Macul,111436,12.9,920000,C3
13119,Maipú,805000,135.5,900000,C3
13120,Ñuñoa,195410,16.9,1150000,C2
13121,Pedro Aguirre Cerda,104018,10,750000,D
13122,Peñalolén,249621,54,680000,D
13123,Providencia,126487,14.3,2100000,ABC1
13124,Pudahuel,225509,197,780000,D
13125,Quilicura,203946,58,820000,C3
13126,Quinta Normal,101737,13,720000,D
13127,Recoleta,152985,16,870000,C3
13128,Renca,142136,24,720000,D
13129,San Joaquín,94255,9.7,700000,D
13130,San Miguel,90846,10,920000,C3
13131,San Ramón,85195,7,1000000,C3
13132,Vitacura,84195,28.3,3800000,ABC1
13201,Puente Alto,757721,88,1100000,C2
13202,Pirque,20732,445.3,900000,C3
13203,San José de Maipo,14455,4994.8,920000,C3
13301,Colina,113340,971.2,920000,C3
13302,Lampa,79421,452,720000,D
13303,Til Til,16405,653,650000,D
13401,San Bernardo,277802,155,870000,C3
13402,Buin,74232,214,1100000,C2
13403,Calera de Tango,27781,73.3,900000,C3
13404,Paine,66512,820,920000,C3
13501,Melipilla,107698,1345,870000,C3
13502,Alhué,4646,845,720000,D
13503,Curacaví,28439,693,680000,D
13504,María Pinto,12501,393.5,650000,D
13505,San Pedro,8062,788,680000,D
13601,Talagante,78887,126,900000,C3
13602,El Monte,32468,118,720000,D
13603,Isla de Maipo,33723,189,720000,D
13604,Padre Hurtado,50696,80.8,1100000,C2
13605,Peñaflor,87741,69,900000,C3
